year_month,month_total,sum_has_python,sum_has_sql,sum_has_r,sum_has_aws,sum_has_azure,sum_has_spark,sum_has_sas,sum_has_powerbi,sum_has_excel,sum_has_tableau,python,sql,r,aws,azure,spark,sas,powerbi,excel,tableau
2022-12,142416,80318,83108,28306,36174,29634,35190,9332,14884,19872,25170,0.563967531738007,0.583558027187956,0.198755757780025,0.254002359285474,0.208080552746882,0.247093023255814,0.0655263453544545,0.104510729131558,0.13953488372093,0.176735760026963
2023-01,202674,111987,118639,40714,49860,39831,47510,13374,22864,28798,38224,0.552547440717606,0.585368621530142,0.200884178533014,0.246010835134255,0.196527428283845,0.234415859952436,0.0659877438645312,0.112811707471111,0.142090253313202,0.188598438872278
2023-02,152039,85332,89805,29366,39346,30018,36257,9873,17701,22181,30014,0.561250731720151,0.590670814725169,0.193147810759082,0.258788863383737,0.197436184136965,0.238471707917048,0.0649372858279784,0.116424075401706,0.145890199225199,0.197409875097837
2023-03,150588,85050,89153,30249,39092,31120,35053,9478,17353,20736,27687,0.564786038728186,0.592032565675884,0.200872579488405,0.25959571811831,0.206656572900895,0.232774191834675,0.0629399420936595,0.115234945679603,0.137700215156586,0.183859271655112
2023-04,144723,80368,83058,27996,35872,28976,31483,8283,17484,19973,26647,0.555322927247224,0.573910159407973,0.193445409506436,0.247866614152554,0.200216966204404,0.217539713798083,0.0572334736012935,0.120810099293132,0.138008471355624,0.184124154419132
2023-05,119747,69329,70235,23864,30909,25028,28755,6840,15438,16161,22218,0.578962312208239,0.586528263756086,0.199286829732686,0.258119201316108,0.209007323774291,0.240131276775201,0.0571204289042732,0.128921810149732,0.134959539696193,0.185541182660108
2023-06,145626,82436,85029,28562,35012,29876,35075,7856,18645,20559,26611,0.566080232925439,0.583886119236949,0.196132558746378,0.240424100092017,0.205155672750745,0.24085671514702,0.0539464106684246,0.128033455564254,0.141176712949611,0.182735225852526
2023-07,152478,84846,88120,26991,36727,31291,35266,8057,19114,20812,26890,0.556447487506394,0.577919437558205,0.177015700625664,0.240867534988654,0.205216490247773,0.231285824840305,0.0528404097640315,0.12535578903186,0.13649182177101,0.176353309985703
2023-08,167758,91753,94900,30407,39087,33027,36668,8857,19986,23450,29269,0.54693665875845,0.56569582374611,0.181255141334541,0.232996339965903,0.196872876405298,0.218576759379582,0.0527962898937756,0.119135898138986,0.139784689850857,0.174471560223656
2023-09,146719,76494,79956,23233,32901,29143,30076,7080,17391,18759,22810,0.521363967856924,0.544960093784718,0.158350315910005,0.224244985312059,0.198631397433189,0.204990492028981,0.0482555088298039,0.118532705375582,0.127856651149476,0.155467253729919
2023-10,161193,84950,87155,24296,37887,32366,35034,7327,18335,21031,24429,0.527007996625164,0.540687250687065,0.150726148157798,0.235041223874486,0.200790356901354,0.217341944129088,0.045454827442879,0.113745634115625,0.130470926156843,0.15155124602185
2023-11,149999,80543,82866,23510,35291,30495,33649,7007,17240,17967,22799,0.536956913046087,0.552443682957886,0.156734378229188,0.235274901832679,0.203301355342369,0.224328162187748,0.0467136447576317,0.114934099560664,0.119780798538657,0.151994346628978
2023-12,133140,72406,74326,21266,30848,27249,28153,6096,16612,16588,21985,0.543833558660057,0.558254468980021,0.159726603575184,0.231695959140754,0.204664263181613,0.211454108457263,0.0457863902658855,0.124770917830855,0.124590656451855,0.165126934054379
2024-01,124130,69526,70649,20320,31490,27471,29132,5197,15373,14912,20681,0.560106340127286,0.569153307016837,0.16369934745831,0.253685652138887,0.221308305808427,0.234689438491904,0.0418673970837026,0.12384596793684,0.120132119552083,0.166607588818175
2024-02,133884,74465,75546,23664,31484,27900,28292,5816,17075,15528,22157,0.556190433509605,0.564264587254638,0.176750022407457,0.235158794180036,0.208389351976338,0.211317259717367,0.0434405903618057,0.127535777239999,0.115980998476293,0.165494009739775
2024-03,126470,73041,75013,19821,32246,30331,29103,5360,17008,14015,20588,0.577536174586859,0.593128805250257,0.156724914999605,0.254969557997944,0.239827627105242,0.230117814501463,0.0423815924725231,0.134482485965051,0.110816794496719,0.162789594370206
2024-04,110485,61854,65625,17136,28378,26722,25698,4967,12799,13615,16124,0.559840702357786,0.593972032402589,0.155097977100964,0.256849346065077,0.241860886093135,0.232592659637055,0.0449563289134272,0.115843779698602,0.12322939765579,0.145938362673666
2024-05,118927,69798,69558,20467,35155,29233,29881,4705,13402,13964,17364,0.586897844896449,0.584879800213576,0.17209716885148,0.295601503443289,0.245806250893405,0.251254971537162,0.0395620843038166,0.112690978499416,0.117416566465142,0.146005532805839
2024-06,105904,63617,63701,17523,30716,27574,29503,4256,12119,12904,16128,0.600704411542529,0.601497582716422,0.165461172382535,0.290036259253664,0.260367880344463,0.278582489802085,0.0401873394772624,0.114433826862064,0.121846200332377,0.152288865387521
2024-07,13715,8009,7968,2103,3583,3063,3081,696,1677,1785,1974,0.583959168793292,0.580969741159315,0.153335763762304,0.261246810061976,0.223332118118848,0.224644549763033,0.0507473569084944,0.122274881516588,0.130149471381699,0.143930003645643
